id,vorname,nachname,geburtsdatum,kontakt_nr,email
1,Karsten,Kessler,1955-02-09,0123456789,max@dhbw-stuttgart.de
2,Anna,Müller,1985-02-02,0987654321,anna@dhbw-stuttgart.de
3,John,Doe,1990-03-03,0112233445,john.doe@dhbw-stuttgart.de
4,Sarah,Schmidt,1992-07-15,0123456790,sarah@dhbw-stuttgart.de
5,Michael,Fischer,1988-10-20,0987654322,michael@dhbw-stuttgart.de
6,Laura,Becker,1995-03-05,0112233446,laura@dhbw-stuttgart.de
7,Daniel,Weber,1983-09-25,0123456791,daniel@dhbw-stuttgart.de
8,Nina,Wagner,1996-06-30,0987654323,nina@dhbw-stuttgart.de
9,Thomas,Koch,1981-04-18,0112233447,thomas@dhbw-stuttgart.de
10,Julia,Richter,1993-11-11,0123456792,julia@dhbw-stuttgart.de
11,Peter,Bauer,1987-01-12,0987654324,peter@dhbw-stuttgart.de
12,Sabrina,Hofmann,1994-08-22,0112233448,sabrina@dhbw-stuttgart.de
13,Florian,Klein,1982-05-08,0123456793,florian@dhbw-stuttgart.de
14,Vanessa,Schulz,1997-02-14,0987654325,vanessa@dhbw-stuttgart.de
15,Lukas,Maier,1989-12-19,0112233449,lukas@dhbw-stuttgart.de
16,Martin,Brandt,1984-03-28,0123456794,martin@dhbw-stuttgart.de
17,Sophia,Böhm,1991-07-07,0987654326,sophia@dhbw-stuttgart.de
18,Robert,Krause,1986-09-10,0112233450,robert@dhbw-stuttgart.de
19,Lena,Lehmann,1998-04-24,0123456795,lena@dhbw-stuttgart.de
20,David,Schwarz,1985-11-30,0987654327,david@dhbw-stuttgart.de
21,Lisa,Zimmermann,1990-06-16,0112233451,lisa@dhbw-stuttgart.de
22,Jan,Lang,1981-08-05,0123456796,jan@dhbw-stuttgart.de
23,Marie,Neumann,1992-10-02,0987654328,marie@dhbw-stuttgart.de
24,Tim,Braun,1983-05-20,0112233452,tim@dhbw-stuttgart.de
25,Julia,Hartmann,1987-09-09,0123456797,julia.h@dhbw-stuttgart.de
26,Felix,Werner,1994-12-03,0987654329,felix@dhbw-stuttgart.de
27,Hannah,Schröder,1989-03-17,0112233453,hannah@dhbw-stuttgart.de
28,Jonas,Wolf,1996-01-29,0123456798,jonas@dhbw-stuttgart.de
29,Laura,Kraus,1982-07-25,0987654330,laura.kraus@dhbw-stuttgart.de
30,Patrick,Meier,1995-10-06,0112233454,patrick@dhbw-stuttgart.de
31,Christina,Lehmann,1988-02-28,0123456799,christina@dhbw-stuttgart.de
32,Philipp,Schulze,1984-11-15,0987654331,philipp@dhbw-stuttgart.de
33,Maria,Becker,1991-03-31,0112233455,maria@dhbw-stuttgart.de
34,Sven,Hoffmann,1980-06-22,0123456700,sven@dhbw-stuttgart.de
35,Katrin,König,1993-08-14,0987654332,katrin@dhbw-stuttgart.de
36,Markus,Frank,1986-01-19,0112233456,markus@dhbw-stuttgart.de
37,Theresa,Schäfer,1997-04-05,0123456701,theresa@dhbw-stuttgart.de
38,André,Horn,1981-09-11,0987654333,andre@dhbw-stuttgart.de
39,Stefan,Busch,1985-12-27,0112233457,stefan@dhbw-stuttgart.de
40,Leonie,Bergmann,1990-05-02,0123456702,leonie@dhbw-stuttgart.de
41,Malte,Thomas,1992-11-23,0987654334,malte@dhbw-stuttgart.de
42,Johanna,Pfeiffer,1987-03-14,0112233458,johanna@dhbw-stuttgart.de
43,Florian,Roth,1994-07-29,0123456703,florian.roth@dhbw-stuttgart.de
44,Carolin,Jäger,1989-10-10,0987654335,carolin@dhbw-stuttgart.de
45,Tobias,Haas,1983-02-16,0112233459,tobias@dhbw-stuttgart.de
46,Melanie,Winkler,1996-06-08,0123456704,melanie@dhbw-stuttgart.de
47,René,Langer,1982-09-26,0987654336,rene@dhbw-stuttgart.de
48,Johannes,Möller,1995-12-21,0112233460,johannes@dhbw-stuttgart.de
49,Viktoria,Becker,1988-04-17,0123456705,viktoria@dhbw-stuttgart.de
50,Christian,Böhm,1991-07-03,0987654337,christian@dhbw-stuttgart.de
